trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type,timestamp,capital_before,capital_after,cumulative_pnl,drawdown,drawdown_pct,trade_return,rolling_avg_return_30,rolling_win_rate_30,rolling_sharpe_30
184,btc-updown-15m-1765683900,2025-12-14T03:53:32+00:00,2025-12-14T03:53:41+00:00,UP,0.305,0.3,100.0,327.868852,0.351093,0.305,0.046093,-1.639344,9.961377,-11.600721,-1.6393,-11.6007,9,stop_loss,2025-12-14T03:53:41+00:00,7951.77492,7940.174198999999,-2059.8258010000004,-2073.502877000001,-0.20706708048031733,-0.11600721,-0.08394163199999999,0.2,-3.7751733820545237
185,btc-updown-15m-1765683900,2025-12-14T03:53:49+00:00,2025-12-14T03:53:56+00:00,UP,0.295,0.31,100.0,338.983051,0.335755,0.295,0.040755,5.084746,10.29661,-5.211864,5.0847,-5.2119,6,success,2025-12-14T03:53:56+00:00,7940.174198999999,7934.962335,-2065.0376650000003,-2078.714741,-0.20758755502332915,-0.05211864,-0.081508279,0.2,-3.669408658555407
186,btc-updown-15m-1765683900,2025-12-14T03:54:13+00:00,2025-12-14T03:54:15+00:00,UP,0.3,0.295,100.0,333.333333,0.354464,0.3,0.054464,-1.666667,10.0314,-11.698067,-1.6667,-11.6981,2,stop_loss,2025-12-14T03:54:15+00:00,7934.962335,7923.264268,-2076.735732,-2090.412808,-0.20875576395509482,-0.11698067,-0.089739612,0.16666666666666666,-4.272718553774394
187,btc-updown-15m-1765683900,2025-12-14T03:54:17+00:00,2025-12-14T03:54:26+00:00,UP,0.3,0.295,100.0,333.333333,0.35076,0.3,0.05076,-1.666667,10.0314,-11.698067,-1.6667,-11.6981,5,stop_loss,2025-12-14T03:54:26+00:00,7923.264268,7911.566201,-2088.433799,-2102.1108750000003,-0.2099239728868605,-0.11698067,-0.08889575000000001,0.16666666666666666,-4.243842953033299
188,btc-updown-15m-1765683900,2025-12-14T03:54:27+00:00,2025-12-14T03:54:28+00:00,UP,0.295,0.29,100.0,338.983051,0.33967,0.295,0.04467,-1.694915,10.101356,-11.796271,-1.6949,-11.7963,1,stop_loss,2025-12-14T03:54:28+00:00,7911.566201,7899.76993,-2100.23007,-2113.9071459999996,-0.21110198880553552,-0.11796271000000001,-0.088813155,0.16666666666666666,-4.24073534394896
189,btc-updown-15m-1765683900,2025-12-14T03:54:31+00:00,2025-12-14T03:54:35+00:00,UP,0.29,0.315,100.0,344.827586,0.333066,0.29,0.043066,8.62069,10.469172,-1.848483,8.6207,-1.8485,4,success,2025-12-14T03:54:35+00:00,7899.76993,7897.921447,-2102.0785530000003,-2115.755629,-0.21128658463242023,-0.01848483,-0.08867025133333332,0.16666666666666666,-4.230675543013606
190,btc-updown-15m-1765683900,2025-12-14T03:54:36+00:00,2025-12-14T03:54:40+00:00,UP,0.3,0.285,100.0,333.333333,0.341552,0.3,0.041552,-5.0,9.9306,-14.9306,-5.0,-14.9306,3,stop_loss,2025-12-14T03:54:40+00:00,7897.921447,7882.990846999999,-2117.0091530000004,-2130.686229000001,-0.2127776053520503,-0.149306,-0.091937507,0.16666666666666666,-4.3753643972757486
191,btc-updown-15m-1765683900,2025-12-14T03:55:00+00:00,2025-12-14T03:55:01+00:00,UP,0.29,0.285,100.0,344.827586,0.347559,0.29,0.057559,-1.724138,10.171241,-11.895379,-1.7241,-11.8954,1,stop_loss,2025-12-14T03:55:01+00:00,7882.990846999999,7871.0954679999995,-2128.9045320000005,-2142.5816080000004,-0.21396551853416293,-0.11895379,-0.09142285933333333,0.16666666666666666,-4.3570044365433445
192,btc-updown-15m-1765683900,2025-12-14T03:55:15+00:00,2025-12-14T03:55:24+00:00,UP,0.265,0.28,100.0,377.358491,0.336386,0.265,0.071386,5.660377,10.769434,-5.109057,5.6604,-5.1091,9,success,2025-12-14T03:55:24+00:00,7871.0954679999995,7865.986411,-2134.0135890000006,-2147.690665,-0.2144757264189613,-0.05109057,-0.089193788,0.16666666666666666,-4.246487913539546
193,btc-updown-15m-1765683900,2025-12-14T03:55:40+00:00,2025-12-14T03:55:48+00:00,UP,0.295,0.275,100.0,338.983051,0.353539,0.295,0.058539,-6.779661,9.942102,-16.721763,-6.7797,-16.7218,1,stop_loss,2025-12-14T03:55:48+00:00,7865.986411,7849.264647999999,-2150.7353520000006,-2164.4124280000005,-0.21614561879446817,-0.16721763,-0.09045046033333333,0.16666666666666666,-4.281765671878585
194,btc-updown-15m-1765683900,2025-12-14T03:56:35+00:00,2025-12-14T03:56:37+00:00,UP,0.28,0.275,100.0,357.142857,0.323234,0.28,0.043234,-1.785714,10.310786,-12.0965,-1.7857,-12.0965,2,stop_loss,2025-12-14T03:56:37+00:00,7849.264647999999,7837.168147999999,-2162.8318520000007,-2176.508928000001,-0.21735361660667968,-0.120965,-0.09051750066666667,0.16666666666666666,-4.284285108108683
195,btc-updown-15m-1765684800,2025-12-14T04:07:27+00:00,2025-12-14T04:07:51+00:00,UP,0.475,0.495,100.0,210.526316,0.530407,0.475,0.055407,4.210526,7.569095,-3.358568,4.2105,-3.3586,16,success,2025-12-14T04:07:51+00:00,7837.168147999999,7833.809579999999,-2166.190420000001,-2179.8674960000008,-0.21768901468018548,-0.03358568,-0.08934090466666667,0.16666666666666666,-4.213801696357573
196,btc-updown-15m-1765684800,2025-12-14T04:10:42+00:00,2025-12-14T04:10:54+00:00,DOWN,0.605,0.63,100.0,165.289256,0.34724,0.395,-0.04776,4.132231,5.618083,-1.485851,4.1322,-1.4859,6,success,2025-12-14T04:10:54+00:00,7833.809579999999,7832.323729,-2167.6762710000007,-2181.353347,-0.21783739683678213,-0.01485851,-0.083099134,0.16666666666666666,-3.961869335433862
197,btc-updown-15m-1765684800,2025-12-14T04:11:11+00:00,2025-12-14T04:11:22+00:00,UP,0.46,0.45,100.0,217.391304,0.501395,0.46,0.041395,-2.173913,7.761913,-9.935826,-2.1739,-9.9358,5,stop_loss,2025-12-14T04:11:22+00:00,7832.323729,7822.387902999999,-2177.6120970000006,-2191.289173000001,-0.21882962236238993,-0.09935826,-0.07928334966666667,0.16666666666666666,-3.868188522481009
198,btc-updown-15m-1765684800,2025-12-14T04:11:24+00:00,2025-12-14T04:11:26+00:00,UP,0.48,0.465,100.0,208.333333,0.520378,0.48,0.040378,-3.125,7.475625,-10.600625,-3.125,-10.6006,2,stop_loss,2025-12-14T04:11:26+00:00,7822.387902999999,7811.787278,-2188.2127220000007,-2201.889798,-0.21988823698712212,-0.10600625000000001,-0.07417269533333333,0.16666666666666666,-3.7912488132202906
199,btc-updown-15m-1765684800,2025-12-14T04:13:44+00:00,2025-12-14T04:13:48+00:00,DOWN,0.05,0.04,100.0,2000.0,0.90064,0.95,-0.04936,-20.0,12.3696,-32.3696,-20.0,-32.3696,4,stop_loss,2025-12-14T04:13:48+00:00,7811.787278,7779.417678,-2220.5823220000007,-2234.259398,-0.2231207758191942,-0.323696,-0.091806608,0.13333333333333333,-4.880772220495162
200,btc-updown-15m-1765685700,2025-12-14T04:28:25+00:00,2025-12-14T04:28:27+00:00,DOWN,0.145,0.135,100.0,689.655172,0.813404,0.855,-0.041596,-6.896552,11.954483,-18.851034,-6.8966,-18.851,2,stop_loss,2025-12-14T04:28:27+00:00,7779.417678,7760.5666439999995,-2239.4333560000005,-2253.1104320000004,-0.2250033044704507,-0.18851034,-0.092527479,0.13333333333333333,-4.889800861096952
201,btc-updown-15m-1765685700,2025-12-14T04:28:39+00:00,2025-12-14T04:28:42+00:00,DOWN,0.245,0.22,100.0,408.163265,0.713141,0.755,-0.041859,-10.204082,10.478939,-20.68302,-10.2041,-20.683,1,stop_loss,2025-12-14T04:28:42+00:00,7760.5666439999995,7739.883624,-2260.1163760000004,-2273.793452,-0.22706878150181722,-0.2068302,-0.09036127833333334,0.13333333333333333,-4.929827258069197
